id,stat_type,stat_min,stat_max,skill_id,skill_damage_min,skill_damage_max,skill_chance_min,skill_chance_max
892,SPD,1188,1268,,,,,
893,DEF,560,623,,,,,
894,,,,250000,,,8,8
895,SPD,633,1585,,,,,
896,DEF,373,748,,,,,
897,SPD,950,1268,,,,,
898,,,,250000,,,8,8
899,SPD,7370,13759,,,,,
900,HIT,12635,22901,,,,,
901,SPD,11792,19655,,,,,
902,,,,250000,,,8,8
903,SPD,2264,2415,,,,,
904,HP,13972,15525,,,,,
905,,,,250000,,,8,8
906,SPD,1207,3019,,,,,
907,HP,9314,18630,,,,,
908,SPD,1811,2415,,,,,
909,,,,250000,,,8,8
910,SPD,14037,26204,,,,,
911,HIT,17326,31404,,,,,
912,SPD,22460,37434,,,,,
913,,,,250000,,,8,8
914,SPD,3379,3605,,,,,
915,ATK,1061,1180,,,,,
916,,,,250000,,,8,8
917,SPD,1802,4506,,,,,
918,ATK,707,1416,,,,,
919,SPD,2703,3605,,,,,
920,,,,250000,,,8,8
921,SPD,20951,39109,,,,,
922,HIT,23944,43399,,,,,
923,SPD,33521,55870,,,,,
924,,,,250000,,,8,8
925,HIT,24,26,,,,,
926,DEF,4,6,,,,,
927,,,,240000,,,8,8
928,HIT,12,33,,,,,
929,DEF,3,7,,,,,
930,HIT,19,26,,,,,
931,,,,240000,,,8,8
932,HIT,742,1386,,,,,
933,DEF,127,232,,,,,
934,HIT,890,1485,,,,,
935,,,,240000,,,8,8
936,HIT,26,29,,,,,
937,DEF,7,9,,,,,
938,,,,240000,,,8,8
939,HIT,14,36,,,,,
940,DEF,5,11,,,,,
941,HIT,21,29,,,,,
942,,,,240000,,,8,8
943,HIT,165,310,,,,,
944,DEF,43,79,,,,,
945,HIT,265,442,,,,,
946,,,,240000,,,8,8
947,HIT,86,93,,,,,
948,DEF,23,26,,,,,
949,,,,240000,,,8,8
950,HIT,46,116,,,,,
951,DEF,15,31,,,,,
952,HIT,69,93,,,,,
953,,,,240000,,,8,8
954,HIT,538,1005,,,,,
955,DEF,127,232,,,,,
956,HIT,860,1435,,,,,
957,,,,240000,,,8,8
958,HIT,233,249,,,,,
959,DEF,49,56,,,,,
960,,,,240000,,,8,8
961,HIT,124,311,,,,,
962,DEF,33,67,,,,,
963,HIT,186,249,,,,,
964,,,,240000,,,8,8
965,HIT,1444,2698,,,,,
966,DEF,273,497,,,,,
967,HIT,2311,3853,,,,,
968,,,,240000,,,8,8
969,HIT,58,63,,,,,
970,DEF,11,13,,,,,
971,,,,240000,,,8,8
972,HIT,31,79,,,,,
973,DEF,7,16,,,,,
974,HIT,46,63,,,,,
975,,,,240000,,,8,8
976,HIT,362,678,,,,,
977,DEF,62,114,,,,,
978,HIT,580,968,,,,,
979,,,,240000,,,8,8
980,HIT,61,67,,,,,
981,DEF,18,21,,,,,
982,,,,240000,,,8,8
983,HIT,33,83,,,,,
984,DEF,12,25,,,,,
985,HIT,49,67,,,,,
986,,,,240000,,,8,8
987,HIT,384,718,,,,,
988,DEF,100,182,,,,,
989,HIT,614,1025,,,,,
990,,,,240000,,,8,8
991,HIT,243,260,,,,,
992,DEF,64,73,,,,,
993,,,,240000,,,8,8
994,HIT,129,325,,,,,
995,DEF,43,87,,,,,
996,HIT,194,260,,,,,
997,,,,240000,,,8,8
998,HIT,1509,2818,,,,,
999,DEF,357,649,,,,,
1000,HIT,2415,4026,,,,,
1001,,,,240000,,,8,8
1002,HIT,454,485,,,,,
1003,DEF,96,108,,,,,
1004,,,,240000,,,8,8
1005,HIT,242,606,,,,,
1006,DEF,64,130,,,,,
1007,HIT,363,485,,,,,
1008,,,,240000,,,8,8
1009,HIT,2814,5255,,,,,
1010,DEF,533,968,,,,,
1011,HIT,4503,7507,,,,,
1012,,,,240000,,,8,8
1013,HIT,155,166,,,,,
1014,DEF,30,34,,,,,
1015,,,,240000,,,8,8
1016,HIT,82,207,,,,,
1017,DEF,20,41,,,,,
1018,HIT,124,166,,,,,
1019,,,,240000,,,8,8
1020,HIT,962,1796,,,,,
1021,DEF,165,301,,,,,
1022,HIT,1539,2566,,,,,
1023,,,,240000,,,8,8
1024,HIT,164,175,,,,,
1025,DEF,48,54,,,,,
1026,,,,240000,,,8,8
1027,HIT,87,219,,,,,
1028,DEF,32,65,,,,,
1029,HIT,131,175,,,,,
1030,,,,240000,,,8,8
1031,HIT,1016,1899,,,,,
1032,DEF,265,481,,,,,
1033,HIT,1627,2712,,,,,
1034,,,,240000,,,8,8
1035,HIT,522,558,,,,,
1036,DEF,139,155,,,,,
1037,,,,240000,,,8,8
1038,HIT,278,697,,,,,
1039,DEF,92,186,,,,,
1040,HIT,418,558,,,,,
1041,,,,240000,,,8,8
1042,HIT,3240,6049,,,,,
1043,DEF,768,1393,,,,,
1044,HIT,5184,8641,,,,,
1045,,,,240000,,,8,8
1046,HIT,629,672,,,,,
1047,DEF,134,150,,,,,
1048,,,,240000,,,8,8
1049,HIT,335,840,,,,,
1050,DEF,89,180,,,,,
1051,HIT,503,672,,,,,
1052,,,,240000,,,8,8
1053,HIT,3905,7290,,,,,
1054,DEF,740,1343,,,,,
1055,HIT,6248,10415,,,,,
1056,,,,240000,,,8,8
1057,HIT,676,722,,,,,
1058,SPD,516,574,,,,,
1059,,,,240000,,,8,8
1060,HIT,360,902,,,,,
1061,SPD,344,689,,,,,
1062,HIT,540,722,,,,,
1063,,,,240000,,,8,8
1064,HIT,4192,7827,,,,,
1065,DEF,722,1311,,,,,
1066,HIT,6708,11181,,,,,
1067,,,,240000,,,8,8
1068,HIT,626,669,,,,,
1069,DEF,183,205,,,,,
1070,,,,240000,,,8,8
1071,HIT,334,836,,,,,
1072,DEF,122,246,,,,,
1073,HIT,501,669,,,,,
1074,,,,240000,,,8,8
1075,HIT,3886,7255,,,,,
1076,DEF,1013,1837,,,,,
1077,HIT,6217,10364,,,,,
1078,,,,240000,,,8,8
1079,HIT,862,920,,,,,
1080,SPD,894,994,,,,,
1081,,,,240000,,,8,8
1082,HIT,459,1150,,,,,
1083,SPD,596,1193,,,,,
1084,HIT,689,920,,,,,
1085,,,,240000,,,8,8
1086,HIT,5347,9982,,,,,
1087,DEF,1267,2298,,,,,
1088,HIT,8555,14260,,,,,
1089,,,,240000,,,8,8
1090,HIT,1195,1276,,,,,
1091,ATK,350,390,,,,,
1092,,,,240000,,,8,8
1093,HIT,637,1595,,,,,
1094,ATK,233,468,,,,,
1095,HIT,956,1276,,,,,
1096,,,,240000,,,8,8
1097,HIT,7413,13840,,,,,
1098,DEF,1405,2549,,,,,
1099,HIT,11862,19771,,,,,
1100,,,,240000,,,8,8
1101,HIT,2413,2574,,,,,
1102,SPD,1842,2048,,,,,
1103,,,,240000,,,8,8
1104,HIT,1286,3218,,,,,
1105,SPD,1228,2457,,,,,
1106,HIT,1930,2574,,,,,
1107,,,,240000,,,8,8
1108,HIT,14961,27929,,,,,
1109,DEF,2579,4675,,,,,
1110,HIT,23938,39898,,,,,
1111,,,,240000,,,8,8
1112,HIT,2226,2376,,,,,
1113,DEF,653,726,,,,,
1114,,,,240000,,,8,8
1115,HIT,1187,2970,,,,,
1116,DEF,435,871,,,,,
1117,HIT,1781,2376,,,,,
1118,,,,240000,,,8,8
1119,HIT,13807,25774,,,,,
1120,DEF,3600,6526,,,,,
1121,HIT,22091,36819,,,,,
1122,,,,240000,,,8,8
1123,HIT,3050,3255,,,,,
1124,SPD,3163,3516,,,,,
1125,,,,240000,,,8,8
1126,HIT,1627,4068,,,,,
1127,SPD,2109,4219,,,,,
1128,HIT,2440,3255,,,,,
1129,,,,240000,,,8,8
1130,HIT,18917,35312,,,,,
1131,DEF,4484,8128,,,,,
1132,HIT,30267,50446,,,,,
1133,,,,240000,,,8,8
1134,HIT,4212,4494,,,,,
1135,ATK,1235,1374,,,,,
1136,,,,240000,,,8,8
1137,HIT,2246,5618,,,,,
1138,ATK,823,1648,,,,,
1139,HIT,3370,4494,,,,,
1140,,,,240000,,,8,8
1141,HIT,26120,48759,,,,,
1142,DEF,4953,8978,,,,,
1143,HIT,41792,69655,,,,,
1144,,,,240000,,,8,8
1145,DEF,3,4,,,,,
1146,ATK,8,10,,,,,
1147,,,,110002,149,199,9,9
1148,DEF,1,5,,,,,
1149,ATK,5,12,,,,,
1150,DEF,3,5,,,,,
1151,,,,110005,106,142,9,9
1152,ATK,179,336,,,,,
1153,HIT,791,1436,,,,,
1154,ATK,287,480,,,,,
1155,,,,110005,5080,6774,9,9
1156,DEF,5,7,,,,,
1157,HP,142,159,,,,,
1158,,,,120002,226,302,9,9
1159,DEF,3,8,,,,,
1160,HP,94,190,,,,,
1161,DEF,5,8,,,,,
1162,,,,120005,162,216,9,9
1163,DEF,41,79,,,,,
1164,HP,671,1218,,,,,
1165,DEF,67,112,,,,,
1166,,,,120005,669,892,9,9
1167,DEF,17,20,,,,,
1168,HIT,134,150,,,,,
1169,,,,130002,1116,1488,9,9
1170,DEF,9,24,,,,,
1171,HIT,89,180,,,,,
1172,DEF,17,23,,,,,
1173,,,,130005,797,1063,9,9
1174,HP,2657,4961,,,,,
1175,DEF,141,257,,,,,
1176,HP,4251,7086,,,,,
1177,,,,130005,3296,4395,9,9
1178,DEF,38,42,,,,,
1179,SPD,339,378,,,,,
1180,,,,140002,3882,5176,9,9
1181,DEF,20,52,,,,,
1182,SPD,226,453,,,,,
1183,DEF,36,50,,,,,
1184,,,,140005,2773,3697,9,9
1185,SPD,1503,2807,,,,,
1186,ATK,420,762,,,,,
1187,SPD,2405,4010,,,,,
1188,,,,140005,11463,15285,9,9
1189,DEF,8,10,,,,,
1190,ATK,22,25,,,,,
1191,,,,110002,483,644,9,9
1192,DEF,4,12,,,,,
1193,ATK,14,30,,,,,
1194,DEF,8,12,,,,,
1195,,,,110005,345,460,9,9
1196,ATK,97,183,,,,,
1197,HIT,429,779,,,,,
1198,ATK,156,261,,,,,
1199,,,,110005,1426,1901,9,9
1200,DEF,14,16,,,,,
1201,HP,359,400,,,,,
1202,,,,120002,731,975,9,9
1203,DEF,7,20,,,,,
1204,HP,239,480,,,,,
1205,DEF,13,19,,,,,
1206,,,,120005,522,696,9,9
1207,DEF,106,198,,,,,
1208,HP,1697,3077,,,,,
1209,DEF,169,283,,,,,
1210,,,,120005,2159,2879,9,9
1211,DEF,49,53,,,,,
1212,HIT,374,417,,,,,
1213,,,,130002,4703,6270,9,9
1214,DEF,26,67,,,,,
1215,HIT,249,500,,,,,
1216,DEF,47,64,,,,,
1217,,,,130005,3359,4479,9,9
1218,HP,7373,13765,,,,,
1219,DEF,393,713,,,,,
1220,HP,11797,19664,,,,,
1221,,,,130005,13885,18514,9,9
1222,DEF,68,73,,,,,
1223,SPD,601,668,,,,,
1224,,,,140002,7277,9702,9,9
1225,DEF,36,91,,,,,
1226,SPD,400,802,,,,,
1227,DEF,65,88,,,,,
1228,,,,140005,5197,6930,9,9
1229,SPD,2662,4970,,,,,
1230,ATK,743,1348,,,,,
1231,SPD,4259,7100,,,,,
1232,,,,140005,21485,28647,9,9
1233,DEF,23,25,,,,,
1234,ATK,58,66,,,,,
1235,,,,110002,2053,2738,9,9
1236,DEF,12,32,,,,,
1237,ATK,39,79,,,,,
1238,DEF,22,30,,,,,
1239,,,,110005,1467,1956,9,9
1240,ATK,260,486,,,,,
1241,HIT,1145,2077,,,,,
1242,ATK,416,695,,,,,
1243,,,,110005,6064,8085,9,9
1244,DEF,36,40,,,,,
1245,HP,931,1036,,,,,
1246,,,,120002,2710,3614,9,9
1247,DEF,19,50,,,,,
1248,HP,621,1243,,,,,
1249,DEF,35,48,,,,,
1250,,,,120005,1936,2581,9,9
1251,DEF,275,514,,,,,
1252,HP,4401,7979,,,,,
1253,DEF,440,734,,,,,
1254,,,,120005,8004,10672,9,9
1255,DEF,101,109,,,,,
1256,HIT,768,855,,,,,
1257,,,,130002,9644,12859,9,9
1258,DEF,54,136,,,,,
1259,HIT,512,1026,,,,,
1260,DEF,97,131,,,,,
1261,,,,130005,6889,9185,9,9
1262,HP,15132,28249,,,,,
1263,DEF,807,1463,,,,,
1264,HP,24212,40355,,,,,
1265,,,,130005,28475,37967,9,9
1266,DEF,107,115,,,,,
1267,SPD,945,1051,,,,,
1268,,,,140002,11438,15251,9,9
1269,DEF,57,143,,,,,
1270,SPD,630,1261,,,,,
1271,DEF,102,138,,,,,
1272,,,,140005,8170,10893,9,9
1273,SPD,4185,7814,,,,,
1274,ATK,1169,2120,,,,,
1275,SPD,6697,11163,,,,,
1276,,,,140005,33772,45030,9,9
1277,DEF,133,143,,,,,
1278,HIT,1385,1540,,,,,
1279,,,,110002,18081,24108,9,9
1280,DEF,71,178,,,,,
1281,HIT,923,1848,,,,,
1282,DEF,127,171,,,,,
1283,,,,110005,12915,17220,9,9
1284,ATK,1488,2778,,,,,
1285,HIT,6547,11868,,,,,
1286,ATK,2380,3969,,,,,
1287,,,,110005,53386,71181,9,9
1288,DEF,186,200,,,,,
1289,SPD,797,887,,,,,
1290,,,,120002,18409,24546,9,9
1291,DEF,99,249,,,,,
1292,SPD,531,1064,,,,,
1293,DEF,179,239,,,,,
1294,,,,120005,13149,17533,9,9
1295,DEF,1388,2592,,,,,
1296,HP,22214,40264,,,,,
1297,DEF,2221,3703,,,,,
1298,,,,120005,54355,72473,9,9
1299,DEF,233,249,,,,,
1300,HP,7829,8700,,,,,
1301,,,,130002,28089,37452,9,9
1302,DEF,124,311,,,,,
1303,HP,5219,10440,,,,,
1304,DEF,223,299,,,,,
1305,,,,130005,20063,26751,9,9
1306,HP,34676,64730,,,,,
1307,DEF,1849,3353,,,,,
1308,HP,55482,92471,,,,,
1309,,,,130005,82933,110578,9,9
1310,DEF,258,276,,,,,
1311,ATK,596,663,,,,,
1312,,,,140002,35004,46673,9,9
1313,DEF,137,345,,,,,
1314,ATK,397,795,,,,,
1315,DEF,247,331,,,,,
1316,,,,140005,25003,33338,9,9
1317,SPD,10080,18817,,,,,
1318,ATK,2816,5105,,,,,
1319,SPD,16128,26882,,,,,
1320,,,,140005,103352,137803,9,9
1321,DEF,349,373,,,,,
1322,HIT,3633,4038,,,,,
1323,,,,110002,65617,87490,9,9
1324,DEF,186,467,,,,,
1325,HIT,2422,4845,,,,,
1326,DEF,335,448,,,,,
1327,,,,110005,46869,62493,9,9
1328,ATK,3901,7283,,,,,
1329,HIT,17164,31112,,,,,
1330,ATK,6241,10403,,,,,
1331,,,,110005,193737,258316,9,9
1332,DEF,487,520,,,,,
1333,SPD,2084,2316,,,,,
1334,,,,120002,66531,88709,9,9
1335,DEF,259,650,,,,,
1336,SPD,1389,2779,,,,,
1337,DEF,467,624,,,,,
1338,,,,120005,47522,63363,9,9
1339,DEF,3626,6770,,,,,
1340,HP,58020,105162,,,,,
1341,DEF,5802,9671,,,,,
1342,,,,120005,196435,261914,9,9
1343,DEF,607,648,,,,,
1344,HP,20401,22669,,,,,
1345,,,,130002,101327,135102,9,9
1346,DEF,323,810,,,,,
1347,HP,13600,27202,,,,,
1348,DEF,582,778,,,,,
1349,,,,130005,72376,96501,9,9
1350,HP,90353,168660,,,,,
1351,DEF,4818,8735,,,,,
1352,HP,144565,240943,,,,,
1353,,,,130005,299169,398892,9,9
1354,DEF,670,716,,,,,
1355,ATK,1549,1722,,,,,
1356,,,,140002,125940,167920,9,9
1357,DEF,357,895,,,,,
1358,ATK,1033,2067,,,,,
1359,DEF,644,859,,,,,
1360,,,,140005,89957,119943,9,9
1361,SPD,26205,48917,,,,,
1362,ATK,7320,13269,,,,,
1363,SPD,41928,69881,,,,,
1364,,,,140005,371840,495787,9,9
1365,ATK,2,4,,,,,
1366,SPD,12,14,,,,,
1367,,,,210000,,,8,8
1368,ATK,1,4,,,,,
1369,SPD,8,17,,,,,
1370,ATK,2,4,,,,,
1371,,,,210000,,,8,8
1372,ATK,18,34,,,,,
1373,SPD,67,123,,,,,
1374,ATK,28,49,,,,,
1375,,,,210000,,,8,8
1376,ATK,8,9,,,,,
1377,SPD,34,39,,,,,
1378,,,,210000,,,8,8
1379,ATK,4,12,,,,,
1380,SPD,23,47,,,,,
1381,ATK,6,9,,,,,
1382,,,,210000,,,8,8
1383,ATK,51,96,,,,,
1384,SPD,191,347,,,,,
1385,ATK,81,137,,,,,
1386,,,,210000,,,8,8
1387,ATK,21,23,,,,,
1388,SPD,88,99,,,,,
1389,,,,210000,,,8,8
1390,ATK,11,29,,,,,
1391,SPD,59,119,,,,,
1392,ATK,16,23,,,,,
1393,,,,210000,,,8,8
1394,ATK,131,245,,,,,
1395,SPD,489,887,,,,,
1396,ATK,209,350,,,,,
1397,,,,210000,,,8,8
1398,ATK,45,49,,,,,
1399,SPD,192,214,,,,,
1400,,,,210000,,,8,8
1401,ATK,24,62,,,,,
1402,SPD,128,257,,,,,
1403,ATK,36,49,,,,,
1404,,,,210000,,,8,8
1405,ATK,284,531,,,,,
1406,SPD,1060,1923,,,,,
1407,ATK,454,758,,,,,
1408,,,,210000,,,8,8
1409,ATK,147,158,,,,,
1410,SPD,618,688,,,,,
1411,,,,210000,,,8,8
1412,ATK,78,197,,,,,
1413,SPD,412,825,,,,,
1414,ATK,117,158,,,,,
1415,,,,210000,,,8,8
1416,ATK,913,1706,,,,,
1417,SPD,3410,6181,,,,,
1418,ATK,1461,2436,,,,,
1419,,,,210000,,,8,8
1420,ATK,197,211,,,,,
1421,SPD,828,922,,,,,
1422,,,,210000,,,8,8
1423,ATK,105,264,,,,,
1424,SPD,552,1106,,,,,
1425,ATK,157,211,,,,,
1426,,,,210000,,,8,8
1427,ATK,1223,2285,,,,,
1428,SPD,4568,8281,,,,,
1429,ATK,1958,3264,,,,,
1430,,,,210000,,,8,8
1431,ATK,349,373,,,,,
1432,SPD,1468,1632,,,,,
1433,,,,210000,,,8,8
1434,ATK,186,467,,,,,
1435,SPD,978,1958,,,,,
1436,ATK,279,373,,,,,
1437,,,,210000,,,8,8
1438,ATK,2167,4046,,,,,
1439,SPD,8091,14666,,,,,
1440,ATK,3467,5780,,,,,
1441,,,,210000,,,8,8
1442,ATK,465,497,,,,,
1443,SPD,1953,2171,,,,,
1444,,,,210000,,,8,8
1445,ATK,248,621,,,,,
1446,SPD,1302,2605,,,,,
1447,ATK,372,497,,,,,
1448,,,,210000,,,8,8
1449,ATK,2883,5382,,,,,
1450,SPD,10763,19510,,,,,
1451,ATK,4613,7689,,,,,
1452,,,,210000,,,8,8
1453,ATK,833,890,,,,,
1454,SPD,3501,3891,,,,,
1455,,,,210000,,,8,8
1456,ATK,444,1112,,,,,
1457,SPD,2334,4669,,,,,
1458,ATK,666,890,,,,,
1459,,,,210000,,,8,8
1460,ATK,5169,9649,,,,,
1461,SPD,19297,34978,,,,,
1462,ATK,8270,13785,,,,,
1463,,,,210000,,,8,8
1464,HP,48,52,,,,,
1465,DEF,3,5,,,,,
1466,,,,220000,,,8,8
1467,HP,25,65,,,,,
1468,DEF,2,6,,,,,
1469,HP,38,52,,,,,
1470,,,,220000,,,8,8
1471,HP,301,563,,,,,
1472,DEF,21,39,,,,,
1473,HP,482,804,,,,,
1474,,,,220000,,,8,8
1475,HP,143,153,,,,,
1476,DEF,11,13,,,,,
1477,,,,220000,,,8,8
1478,HP,76,192,,,,,
1479,DEF,7,16,,,,,
1480,HP,114,153,,,,,
1481,,,,220000,,,8,8
1482,HP,888,1660,,,,,
1483,DEF,63,115,,,,,
1484,HP,1422,2371,,,,,
1485,,,,220000,,,8,8
1486,HP,360,385,,,,,
1487,DEF,28,33,,,,,
1488,,,,220000,,,8,8
1489,HP,192,482,,,,,
1490,DEF,19,39,,,,,
1491,HP,288,385,,,,,
1492,,,,220000,,,8,8
1493,HP,2237,4177,,,,,
1494,DEF,159,289,,,,,
1495,HP,3579,5967,,,,,
1496,,,,220000,,,8,8
1497,HP,758,810,,,,,
1498,DEF,60,68,,,,,
1499,,,,220000,,,8,8
1500,HP,404,1012,,,,,
1501,DEF,40,81,,,,,
1502,HP,607,810,,,,,
1503,,,,220000,,,8,8
1504,HP,4705,8784,,,,,
1505,DEF,334,607,,,,,
1506,HP,7528,12548,,,,,
1507,,,,220000,,,8,8
1508,HP,1801,1922,,,,,
1509,DEF,144,161,,,,,
1510,,,,220000,,,8,8
1511,HP,960,2402,,,,,
1512,DEF,96,193,,,,,
1513,HP,1441,1922,,,,,
1514,,,,220000,,,8,8
1515,HP,11168,20848,,,,,
1516,DEF,794,1440,,,,,
1517,HP,17869,29783,,,,,
1518,,,,220000,,,8,8
1519,HP,3247,3465,,,,,
1520,DEF,259,289,,,,,
1521,,,,220000,,,8,8
1522,HP,1732,4331,,,,,
1523,DEF,173,347,,,,,
1524,HP,2598,3465,,,,,
1525,,,,220000,,,8,8
1526,HP,20136,37589,,,,,
1527,DEF,1431,2596,,,,,
1528,HP,32218,53698,,,,,
1529,,,,220000,,,8,8
1530,HP,4821,5143,,,,,
1531,DEF,385,429,,,,,
1532,,,,220000,,,8,8
1533,HP,2571,6429,,,,,
1534,DEF,257,515,,,,,
1535,HP,3857,5143,,,,,
1536,,,,220000,,,8,8
1537,HP,29893,55802,,,,,
1538,DEF,2125,3853,,,,,
1539,HP,47829,79717,,,,,
1540,,,,220000,,,8,8
1541,HP,8168,8714,,,,,
1542,DEF,653,727,,,,,
1543,,,,220000,,,8,8
1544,HP,4356,10892,,,,,
1545,DEF,435,872,,,,,
1546,HP,6534,8714,,,,,
1547,,,,220000,,,8,8
1548,HP,50646,94541,,,,,
1549,DEF,3601,6528,,,,,
1550,HP,81034,135058,,,,,
1551,,,,220000,,,8,8
1552,HP,12686,13532,,,,,
1553,DEF,1014,1128,,,,,
1554,,,,220000,,,8,8
1555,HP,6765,16915,,,,,
1556,DEF,676,1354,,,,,
1557,HP,10148,13532,,,,,
1558,,,,220000,,,8,8
1559,HP,78657,146828,,,,,
1560,DEF,5593,10139,,,,,
1561,HP,125851,209754,,,,,
1562,,,,220000,,,8,8
1563,SPD,12,14,,,,,
1564,HIT,19,22,,,,,
1565,,,,250000,,,8,8
1566,SPD,6,17,,,,,
1567,HIT,12,26,,,,,
1568,SPD,9,14,,,,,
1569,,,,250000,,,8,8
1570,SPD,77,145,,,,,
1571,HIT,106,193,,,,,
1572,SPD,123,207,,,,,
1573,,,,250000,,,8,8
1574,SPD,36,40,,,,,
1575,HIT,56,64,,,,,
1576,,,,250000,,,8,8
1577,SPD,19,50,,,,,
1578,HIT,37,76,,,,,
1579,SPD,29,40,,,,,
1580,,,,250000,,,8,8
1581,SPD,228,427,,,,,
1582,HIT,313,569,,,,,
1583,SPD,365,610,,,,,
1584,,,,250000,,,8,8
1585,SPD,94,101,,,,,
1586,HIT,145,162,,,,,
1587,,,,250000,,,8,8
1588,SPD,50,126,,,,,
1589,HIT,97,195,,,,,
1590,SPD,75,101,,,,,
1591,,,,250000,,,8,8
1592,SPD,585,1093,,,,,
1593,HIT,802,1455,,,,,
1594,SPD,936,1561,,,,,
1595,,,,250000,,,8,8
1596,SPD,328,350,,,,,
1597,HIT,506,563,,,,,
1598,,,,250000,,,8,8
1599,SPD,174,438,,,,,
1600,HIT,337,675,,,,,
1601,SPD,262,350,,,,,
1602,,,,250000,,,8,8
1603,SPD,2034,3798,,,,,
1604,HIT,2790,5057,,,,,
1605,SPD,3255,5426,,,,,
1606,,,,250000,,,8,8
1607,SPD,1439,1535,,,,,
1608,HIT,2220,2467,,,,,
1609,,,,250000,,,8,8
1610,SPD,767,1919,,,,,
1611,HIT,1480,2961,,,,,
1612,SPD,1151,1535,,,,,
1613,,,,250000,,,8,8
1614,SPD,8922,16656,,,,,
1615,HIT,12236,22179,,,,,
1616,SPD,14275,23794,,,,,
1617,,,,250000,,,8,8
1618,HIT,18,21,,,,,
1619,DEF,5,6,,,,,
1620,,,,240000,,,8,8
1621,HIT,10,26,,,,,
1622,DEF,3,7,,,,,
1623,HIT,15,21,,,,,
1624,,,,240000,,,8,8
1625,HIT,117,220,,,,,
1626,DEF,27,51,,,,,
1627,HIT,188,314,,,,,
1628,,,,240000,,,8,8
1629,HIT,51,56,,,,,
1630,DEF,13,16,,,,,
1631,,,,240000,,,8,8
1632,HIT,27,70,,,,,
1633,DEF,9,19,,,,,
1634,HIT,41,56,,,,,
1635,,,,240000,,,8,8
1636,HIT,320,600,,,,,
1637,DEF,76,138,,,,,
1638,HIT,513,856,,,,,
1639,,,,240000,,,8,8
1640,HIT,137,147,,,,,
1641,DEF,36,41,,,,,
1642,,,,240000,,,8,8
1643,HIT,73,184,,,,,
1644,DEF,24,49,,,,,
1645,HIT,110,147,,,,,
1646,,,,240000,,,8,8
1647,HIT,854,1595,,,,,
1648,DEF,202,368,,,,,
1649,HIT,1366,2279,,,,,
1650,,,,240000,,,8,8
1651,HIT,602,643,,,,,
1652,DEF,160,179,,,,,
1653,,,,240000,,,8,8
1654,HIT,321,804,,,,,
1655,DEF,107,215,,,,,
1656,HIT,482,643,,,,,
1657,,,,240000,,,8,8
1658,HIT,3736,6976,,,,,
1659,DEF,885,1606,,,,,
1660,HIT,5978,9965,,,,,
1661,,,,240000,,,8,8
1662,HIT,2160,2305,,,,,
1663,DEF,576,641,,,,,
1664,,,,240000,,,8,8
1665,HIT,1152,2881,,,,,
1666,DEF,384,769,,,,,
1667,HIT,1728,2305,,,,,
1668,,,,240000,,,8,8
1669,HIT,13396,25006,,,,,
1670,DEF,3175,5756,,,,,
1671,HIT,21433,35723,,,,,
1672,,,,240000,,,8,8
1673,DEF,3,4,,,,,
1674,ATK,6,7,,,,,
1675,,,,210000,,,8,8
1676,DEF,1,5,,,,,
1677,ATK,4,9,,,,,
1678,DEF,3,5,,,,,
1679,,,,210000,,,8,8
1680,HIT,123,231,,,,,
1681,ATK,29,54,,,,,
1682,HIT,197,330,,,,,
1683,,,,210000,,,8,8
1684,DEF,10,12,,,,,
1685,ATK,17,20,,,,,
1686,,,,210000,,,8,8
1687,DEF,5,14,,,,,
1688,ATK,11,24,,,,,
1689,DEF,9,14,,,,,
1690,,,,210000,,,8,8
1691,HIT,348,650,,,,,
1692,ATK,82,150,,,,,
1693,HIT,556,929,,,,,
1694,,,,210000,,,8,8
1695,DEF,28,31,,,,,
1696,ATK,47,54,,,,,
1697,,,,210000,,,8,8
1698,DEF,15,39,,,,,
1699,ATK,31,64,,,,,
1700,DEF,27,37,,,,,
1701,,,,210000,,,8,8
1702,HIT,955,1785,,,,,
1703,ATK,226,411,,,,,
1704,HIT,1529,2550,,,,,
1705,,,,210000,,,8,8
1706,DEF,163,175,,,,,
1707,ATK,274,306,,,,,
1708,,,,210000,,,8,8
1709,DEF,87,219,,,,,
1710,ATK,183,367,,,,,
1711,DEF,157,210,,,,,
1712,,,,210000,,,8,8
1713,HIT,5480,10231,,,,,
1714,ATK,1299,2355,,,,,
1715,HIT,8768,14615,,,,,
1716,,,,210000,,,8,8
1717,DEF,430,460,,,,,
1718,ATK,723,805,,,,,
1719,,,,210000,,,8,8
1720,DEF,229,575,,,,,
1721,ATK,482,965,,,,,
1722,DEF,413,552,,,,,
1723,,,,210000,,,8,8
1724,HIT,14423,26925,,,,,
1725,ATK,3418,6197,,,,,
1726,HIT,23077,38464,,,,,
1727,,,,210000,,,8,8
